cohort_id,time,time_index,age,centroid_key,development_type,diet_type,functional_group,individuals,is_alive,is_mature,largest_mass_achieved,location_status,mass_carbon,mass_nitrogen,mass_phosphorus,occupancy_proportion,reproductive_mass_carbon,reproductive_mass_nitrogen,reproductive_mass_phosphorus,territory,territory_size,time_since_maturity,time_to_maturity
37f7ea48-32dc-42a9-b9cd-8a6ec1703f56,2013-01-01,0,0.00000,77,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[77, 68, 76, 78, 59, 67, 69]",55609.19461,0.00000,0.00000
4e4a4942-1992-4c9b-aad1-e89d541e33e6,2013-01-01,0,0.00000,43,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[43, 34, 52, 42, 44, 25, 33]",55609.19461,0.00000,0.00000
1c336c81-017f-4491-b109-ce3fd03ec02d,2013-01-01,0,0.00000,65,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[65, 56, 74, 64, 66, 47, 55]",55609.19461,0.00000,0.00000
5d42a7eb-1352-4a65-887a-978dafcd7d4e,2013-01-01,0,0.00000,27,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[27, 18, 36, 28, 9, 19, 45]",55609.19461,0.00000,0.00000
c882c267-29c1-447f-b448-34d6753f4248,2013-01-01,0,0.00000,56,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[56, 47, 65, 55, 57, 38, 46]",55609.19461,0.00000,0.00000
ece3c025-59dd-4f25-a421-0e3d95faee4c,2013-01-01,0,0.00000,38,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[38, 29, 47, 37, 39, 20, 28]",55609.19461,0.00000,0.00000
dfe3c5f6-0661-4a6c-b3da-40c6e1681790,2013-01-01,0,0.00000,78,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[78, 69, 77, 79, 60, 68, 70]",55609.19461,0.00000,0.00000
b4d8f3fe-4b91-47dd-bf7b-d332bcbde39f,2013-01-01,0,0.00000,24,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[24, 15, 33, 23, 25, 6, 14]",55609.19461,0.00000,0.00000
c533b1ff-528e-483a-ab32-c0024090f0a6,2013-01-01,0,0.00000,28,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[28, 19, 37, 27, 29, 10, 18]",55609.19461,0.00000,0.00000
13bae8ab-c762-4324-8faa-0e145915e7d0,2013-01-01,0,0.00000,44,DevelopmentType.DIRECT,DietType.INVERTEBRATES|CARCASSES|VERTEBRATES,carnivorous_bird,154,True,False,1.00000,active,0.40000,0.30000,0.30000,0.14286,0.00000,0.00000,0.00000,"[44, 35, 53, 43, 26, 34, 62]",55609.19461,0.00000,0.00000
