name,taxa,diet,metabolic_type,reproductive_environment,reproductive_type,development_type,development_status,offspring_functional_group,excretion_type,migration_type,vertical_occupancy,birth_mass,adult_mass,density_individuals_m2,t_opt,t_max_crit,t_min_crit
carnivorous_bird,bird,vertebrates_invertebrates_carcasses,endothermic,terrestrial,iteroparous,direct,adult,carnivorous_bird,uricotelic,none,ground_canopy,0.1,1.0,None,None,None,None
herbivorous_bird,bird,foliage_fruit,endothermic,terrestrial,iteroparous,direct,adult,herbivorous_bird,uricotelic,none,ground_canopy,0.05,0.5,None,None,None,None
carnivorous_mammal,mammal,vertebrates_invertebrates_carcasses,endothermic,terrestrial,iteroparous,direct,adult,carnivorous_mammal,ureotelic,none,ground,4.0,40.0,None,None,None,None
herbivorous_mammal,mammal,foliage_fruit_seeds,endothermic,terrestrial,iteroparous,direct,adult,herbivorous_mammal,ureotelic,none,ground,1.0,10.0,None,None,None,None
carnivorous_insect_iteroparous,invertebrate,invertebrates,ectothermic,terrestrial,iteroparous,direct,adult,carnivorous_insect_iteroparous,uricotelic,none,soil_ground_canopy,0.001,0.01,None,None,None,None
herbivorous_insect_iteroparous,invertebrate,foliage_fruit,ectothermic,terrestrial,iteroparous,direct,adult,herbivorous_insect_iteroparous,uricotelic,none,soil_ground_canopy,0.0005,0.005,None,None,None,None
carnivorous_insect_semelparous,invertebrate,invertebrates,ectothermic,terrestrial,semelparous,direct,adult,carnivorous_insect_semelparous,uricotelic,none,soil_ground_canopy,0.001,0.01,None,None,None,None
herbivorous_insect_semelparous,invertebrate,foliage_fruit,ectothermic,terrestrial,semelparous,direct,adult,herbivorous_insect_semelparous,uricotelic,none,soil_ground_canopy,0.0005,0.005,None,None,None,None
butterfly,invertebrate,foliage_fruit,ectothermic,terrestrial,semelparous,indirect,adult,caterpillar,uricotelic,none,ground_canopy,0.0005,0.005,None,None,None,None
caterpillar,invertebrate,foliage_fruit,ectothermic,terrestrial,nonreproductive,indirect,larval,butterfly,uricotelic,none,canopy,0.0005,0.005,None,None,None,None
frog,amphibian,vertebrates_invertebrates_carcasses,ectothermic,aquatic,iteroparous,direct,adult,frog,ureotelic,none,ground,0.005,0.5,None,None,None,None
swallow,bird,invertebrates,endothermic,terrestrial,iteroparous,direct,adult,swallow,uricotelic,seasonal,canopy,0.005,0.2,None,None,None,None
earthworm,invertebrate,detritus_fungi_pom_bacteria,ectothermic,terrestrial,iteroparous,direct,adult,earthworm,uricotelic,none,soil_ground,0.0005,0.005,None,None,None,None
dung_beetle,invertebrate,waste,ectothermic,terrestrial,iteroparous,direct,adult,dung_beetle,uricotelic,none,soil_ground,0.0003,0.003,None,None,None,None
scavenging_mammal,mammal,carcasses,endothermic,terrestrial,iteroparous,direct,adult,scavenging_mammal,ureotelic,none,ground,2.0,20.0,None,None,None,None
detritivorous_insect,invertebrate,detritus,ectothermic,terrestrial,iteroparous,direct,adult,detritivorous_insect,uricotelic,none,soil_ground,0.0004,0.004,None,None,None,None
fungivorous_mammal,mammal,mushrooms,endothermic,terrestrial,iteroparous,direct,adult,fungivorous_mammal,ureotelic,none,soil_ground,1.0,10.0,None,None,None,None
herbivorous_lizard,reptile,foliage_fruit,ectothermic,terrestrial,iteroparous,direct,adult,herbivorous_lizard,uricotelic,none,ground_canopy,0.01,0.5,None,None,None,None
carnivorous_snake,reptile,vertebrates_invertebrates_carcasses,ectothermic,terrestrial,iteroparous,direct,adult,carnivorous_snake,uricotelic,none,ground,0.02,1.0,None,None,None,None
thermophilic_lizard,reptile,foliage_fruit,ectothermic,terrestrial,iteroparous,direct,adult,thermophilic_lizard,uricotelic,none,ground,0.01,0.3,0.005,35.0,42.0,30.0
